OrganisationName,Sector,ParentName,Address1,Address2,Address3,City,Postcode,Website,LAD19CD,MSOA11CD,Longitude,Latitude
Ribbleton Hospital,NHS Sector,Lancashire & South Cumbria NHS Foundation Trust,Miller Road,Ribbleton,NA,Preston,PR2 6LS,NA,E07000123,E02005261,-2.6575794219970703,53.77164840698242
Queen Victoria Hospital,NHS Sector,Lancashire & South Cumbria NHS Foundation Trust,Thornton Road,NA,NA,Morecambe,LA4 5NN,NA,E07000121,E02005226,-2.8586182594299316,54.072872161865234
Fairfield General Hospital,NHS Sector,Pennine Acute Hospitals NHS Trust,Fairfield General Hospital,Rochdale Old Road,NA,Bury,BL9 7TD,http://www.pat.nhs.uk,E08000002,E02001025,-2.255607843399048,53.600425720214844
North Manchester General Hospital,NHS Sector,Pennine Acute Hospitals NHS Trust,Delaunays Road,Crumpsall,NA,Manchester,M8 5RB,http://www.pat.nhs.uk,E08000003,E02001050,-2.2294869422912598,53.517887115478516
Royal Oldham Hospital,NHS Sector,Pennine Acute Hospitals NHS Trust,Rochdale Road,NA,NA,Oldham,OL1 2JH,http://www.pat.nhs.uk,E08000004,E02001113,-2.1218161582946777,53.553253173828125
Rochdale Infirmary,NHS Sector,Pennine Acute Hospitals NHS Trust,Whitehall Street,NA,NA,Rochdale,OL12 0NB,http://www.pat.nhs.uk,E08000005,E02001141,-2.1601369380950928,53.62428665161133
Birch Hill Hospital (Floyd Unit),NHS Sector,Pennine Acute Hospitals NHS Trust,Birch Hill Hospital,Birch Road,Wardle,Rochdale,OL12 9QB,http://www.pat.nhs.uk,E08000005,E02001135,-2.1213715076446533,53.64026641845703
Hull Royal Infirmary,NHS Sector,Hull University Teaching Hospitals NHS Trust,Anlaby Road,NA,NA,Hull,HU3 2JZ,https://www.hull.nhs.uk/,E06000010,E02002675,-0.35816898941993713,53.74443435668945
Grantham and District Hospital,NHS Sector,United Lincolnshire Hospitals NHS Trust,NA,Manthorpe Road,NA,Grantham,NG31 8DG,http://www.ulh.nhs.uk,E07000141,E02005478,-0.6406991481781006,52.92108917236328
Glenfield Hospital,NHS Sector,University Hospitals Of Leicester NHS Trust,NA,Groby Road,NA,Leicester,LE3 9QP,http://www.leicestershospitals.nhs.uk,E06000016,E02002830,-1.180003046989441,52.65436553955078
Leicester General Hospital,NHS Sector,University Hospitals Of Leicester NHS Trust,NA,Gwendolen Road,NA,Leicester,LE5 4PW,http://www.leicestershospitals.nhs.uk,E06000016,E02002845,-1.0817492008209229,52.62992858886719
Kidderminster Hospital & Treatment Centre,NHS Sector,Worcestershire Acute Hospitals NHS Trust,NA,Bewdley Road,NA,Kidderminster,DY11 6RJ,http://www.worcsacute.nhs.uk/our-hospitals/kidderminster-hospital-and-treatment-centre,E07000239,E02006774,-2.261321783065796,52.38517379760742
Halton General Hospital,NHS Sector,Warrington and Halton Hospitals NHS Foundation Trust,NA,Hospital Way,NA,Runcorn,WA7 2DA,http://www.whh.nhs.uk,E06000006,E02002588,-2.6946661472320557,53.323272705078125
"Sandwell Park Hospital, Hartlepool",NHS Sector,"Tees, Esk and Wear Valleys NHS Foundation Trust",NA,Lancaster Road,NA,Hartlepool,TS24 8LN,http://www.tewv.nhs.uk/sandwellpark,E06000001,E02002485,-1.2123247385025024,54.693267822265625
Monkwearmouth Hospital,NHS Sector,Cumbria Northumberland Tyne and Wear NHS Foundation Trust,Monkwearmouth Hospital,Newcastle Road,NA,Sunderland,SR5 1NB,https://www.cntw.nhs.uk,E08000024,E02001795,-1.3867692947387695,54.9245491027832
Pinderfields Hospital,NHS Sector,Mid Yorkshire Hospitals NHS Trust,Pinderfields Hospital,Aberford Road,NA,Wakefield,WF1 4DG,http://www.midyorks.nhs.uk,E08000036,E02002454,-1.4885402917861938,53.692420959472656
Dewsbury and District Hospital,NHS Sector,Mid Yorkshire Hospitals NHS Trust,NA,Halifax Road,NA,Dewsbury,WF13 4HS,http://www.midyorks.nhs.uk,E08000034,E02002286,-1.6518619060516357,53.70225524902344
Brighton General Hospital,NHS Sector,Brighton and Sussex University Hospitals NHS Trust,Elm Grove,NA,NA,Brighton,BN2 3EW,http://www.sussexcommunity.nhs.uk/,E06000043,E02003515,-0.11546260118484497,50.83045959472656
Sandwell District General Hospital,NHS Sector,Sandwell and West Birmingham Hospitals NHS Trust,Lyndon,NA,NA,West Bromwich,B71 4HJ,http://www.swbh.nhs.uk,E08000028,E02002059,-1.988857388496399,52.528079986572266
City Hospital,NHS Sector,Sandwell and West Birmingham Hospitals NHS Trust,Dudley Road,Dudley Road,NA,Birmingham,B18 7QH,http://www.swbh.nhs.uk,E08000025,E02001879,-1.9324921369552612,52.48863220214844
Rowley Regis Hospital,NHS Sector,Sandwell and West Birmingham Hospitals NHS Trust,Moor Lane,NA,NA,Rowley Regis,B65 8DA,http://www.swbh.nhs.uk/,E08000028,E02002075,-2.052065849304199,52.4807014465332
Lancashire Bowel Cancer Screening Programme - Fleetwood Hospital,NHS Sector,Blackpool Teaching Hospitals NHS Foundation Trust,NA,Pharos Street,NA,Fleetwood,FY7 6BE,NA,E07000128,E02005319,-3.009324550628662,53.92620086669922
Burnley General Hospital,NHS Sector,East Lancashire Hospitals NHS Trust,Burnley General Hospital,Casterton Avenue,NA,Burnley,BB10 2PQ,http://www.elht.nhs.uk,E07000117,E02005177,-2.2278640270233154,53.810428619384766
Royal Blackburn Hospital,NHS Sector,East Lancashire Hospitals NHS Trust,Haslingden Road,Haslingden Road,NA,Blackburn,BB2 3HH,http://www.elht.nhs.uk,E06000008,E02002625,-2.4627013206481934,53.735565185546875
Pendle Community Hospital,NHS Sector,East Lancashire Hospitals NHS Trust,Leeds Road,Leeds Rd,NA,Nelson,BB9 9SZ,http://www.elht.nhs.uk,E07000122,E02005248,-2.213982343673706,53.83698654174805
Accrington Victoria Hospital,NHS Sector,East Lancashire Hospitals NHS Trust,Accrington Victoria Community Hospital,Haywood Road,NA,Accrington,BB5 6AS,http://www.elht.nhs.uk,E07000120,E02005215,-2.3669064044952393,53.759586334228516
Ardenleigh,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,385 Kingsbury Road,Erdington,NA,Birmingham,B24 9SA,http://www.bsmhft.nhs.uk,E08000025,E02001857,-1.8346412181854248,52.5174560546875
Ashcroft,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,Ashcroft Complex Care Unit,The Moorings,Hockley,Birmingham,B18 5SD,http://www.bsmht.nhs.uk,E08000025,E02001873,-1.929878830909729,52.492835998535156
Endeavour Court,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,NA,210 Reservoir Road,Erdington,Birmingham,B23 6DJ,http://www.bsmhft.nhs.uk,E08000025,E02001852,-1.8573148250579834,52.52388381958008
Grove Avenue,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,NA,32 Grove Avenue,Moseley,Birmingham,B13 9RY,http://www.bsmhft.nhs.uk,E08000025,E02001918,-1.883678913116455,52.44133377075195
Hertford House,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,NA,29 Old Warwick Road,Olton,Solihull,B92 7JQ,http://www.bsmht.nhs.uk,E08000029,E02002093,-1.8080466985702515,52.43833923339844
Hillis Lodge,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,Hollymoor Way,Northfield,NA,Birmingham,B31 5HE,http://www.bsmht.nhs.uk,E08000025,E02001955,-1.9936208724975586,52.403926849365234
Mary Seacole House,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,NA,Lodge Road,Winson Green,Birmingham,B18 5SD,https://www.bsmhft.nhs.uk/,E08000025,E02001873,-1.929878830909729,52.492835998535156
Reservoir Court,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,NA,220 Reservoir Road,Erdington,Birmingham,B23 6DJ,http://www.bsmhft.nhs.uk,E08000025,E02001852,-1.8573148250579834,52.52388381958008
Zinnia Centre,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,NA,100 Showell Green Lane,NA,Birmingham,B11 4HL,https://www.bsmhft.nhs.uk/,E08000025,E02006901,-1.8674589395523071,52.44896697998047
Barberry ,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,NA,25 Vincent Drive,NA,Birmingham,B15 2FG,https://www.bsmhft.nhs.uk/,E08000025,E02001913,-1.9423142671585083,52.44923400878906
Oleaster,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,NA,6 Mindelsohn Crescent,Edgbaston,Birmingham,B15 2SY,https://www.bsmhft.nhs.uk/,E08000025,E02001913,-1.940764307975769,52.44791793823242
Juniper Centre,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,NA,"Moseley Hall Hospital site, Alcester Road",Moseley,Birmingham,B13 8JL,https://www.bsmhft.nhs.uk/,E08000025,E02001918,-1.8928769826889038,52.445926666259766
Prestwich Hospital,NHS Sector,Greater Manchester Mental Health NHS Foundation Trust,Bury New Road,Prestwich,NA,Manchester,M25 3BL,https://www.gmmh.nhs.uk/,E08000002,E02001040,-2.2914507389068604,53.53675079345703
Skegness and District General Hospital,NHS Sector,Lincolnshire Community Health Services NHS Trust,NA,Dorothy Avenue,NA,Skegness,PE25 2BS,http://www.lincolnshirecommunityhealthservices.nhs.uk/content/skegness-hospital,E07000137,E02005437,0.33227235078811646,53.145179748535156
John Coupland Hospital,NHS Sector,Lincolnshire Community Health Services NHS Trust,NA,Ropery Road,NA,Gainsborough,DN21 2TJ,http://www.lincolnshirecommunityhealthservices.nhs.uk/content/john-coupland-hospital,E07000142,E02005495,-0.7847763895988464,53.41184616088867
Clay Cross Hospital,NHS Sector,Derbyshire Community Health Services NHS Foundation Trust,NA,Market Street,NA,Chesterfield,S45 9NZ,http://www.dchs.nhs.uk/home_redesign/our-services/find_services_by_location/claycross_hospital/,E07000038,E02004116,-1.4072117805480957,53.16793441772461
Brooklands Hospital,NHS Sector,Coventry and Warwickshire Partnership NHS Trust,Coleshill Road,Marston Green,NA,Birmingham,B37 7HL,https://www.covwarkpt.nhs.uk/brooklands,E08000029,E02002089,-1.74408757686615,52.4712028503418
Hammersmith Hospital,NHS Sector,Imperial College Healthcare NHS Trust,Du Cane Road,NA,NA,London,W12 0HS,https://www.imperial.nhs.uk/our-locations/hammersmith-hospital,E09000013,E02000372,-0.2347068190574646,51.51742172241211
Queen Charlotte's & Chelsea Hospital,NHS Sector,Imperial College Healthcare NHS Trust,Du Cane Road,NA,NA,London,W12 0HS,https://www.imperial.nhs.uk/our-locations/queen-charlottes-and-chelsea-hospital,E09000013,E02000372,-0.2347068190574646,51.51742172241211
Bloxwich Hospital ,NHS Sector,Dudley and Walsall Mental Health Partnership NHS Trust,Reeves Street,NA,NA,Walsall,WS3 2JJ,NA,E08000030,E02002117,-2.004830837249756,52.61375427246094
Dorothy Pattison Hospital,NHS Sector,Dudley and Walsall Mental Health Partnership NHS Trust,Alumwell Close,NA,NA,Walsall,WS2 9XH,NA,E08000030,E02002135,-2.0018904209136963,52.58326721191406
Bushey Fields Hospital,NHS Sector,Dudley and Walsall Mental Health Partnership NHS Trust,Bushey Fields Road,NA,NA,Dudley,DY1 2LZ,NA,E08000027,E02002012,-2.116838216781616,52.50290298461914
